student_id,file,exists,rows,columns,unique_dates,missing_value_cells,total_value_cells,missing_value_percent,min_date,max_date
10,daily_questions.csv,1,115,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",115,0,230,0.0,2025-02-20,2025-06-22
10,sleep.csv,1,42,"timestamp, overall_score, deep_sleep_in_minutes",42,0,84,0.0,2025-02-21,2025-06-03
10,activity_level.csv,1,48406,"timestamp, level",102,0,48406,0.0,2025-02-20,2025-06-10
10,steps.csv,1,19739,"timestamp, steps",100,0,19739,0.0,2025-02-20,2025-06-10
10,hrv.csv,1,3456,"timestamp, rmssd, coverage, low_frequency, high_frequency",58,0,13824,0.0,2025-02-20,2025-06-03
10,oxygen.csv,1,22849,"timestamp, value",92,0,22849,0.0,2025-02-21,2025-06-10
10,stress.csv,1,38,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",38,0,76,0.0,2025-02-21,2025-06-03
11,daily_questions.csv,1,39,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",39,0,78,0.0,2025-02-25,2025-05-15
11,sleep.csv,1,26,"timestamp, overall_score, deep_sleep_in_minutes",26,0,52,0.0,2025-02-25,2025-06-01
11,activity_level.csv,1,42390,"timestamp, level",107,0,42390,0.0,2025-02-25,2025-06-11
11,steps.csv,1,17890,"timestamp, steps",107,0,17890,0.0,2025-02-25,2025-06-11
11,hrv.csv,1,2120,"timestamp, rmssd, coverage, low_frequency, high_frequency",30,0,8480,0.0,2025-02-25,2025-06-01
11,oxygen.csv,1,15949,"timestamp, value",80,0,15949,0.0,2025-02-25,2025-06-08
11,stress.csv,1,28,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",28,0,56,0.0,2025-02-25,2025-06-01
12,daily_questions.csv,1,55,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",55,0,110,0.0,2025-02-16,2025-06-03
12,sleep.csv,0,0,,0,0,0,0.0,,
12,activity_level.csv,0,0,,0,0,0,0.0,,
12,steps.csv,0,0,,0,0,0,0.0,,
12,hrv.csv,0,0,,0,0,0,0.0,,
